route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000116,OCESN12265F3830240:2025-01-25T00:39:51Z,12265,1,148,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000117,OCESN12265F3830241:2025-01-25T00:39:51Z,12265,1,149,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000065,OCESN12265F3844176:2025-01-25T00:39:51Z,12265,1,150,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000118,OCESN12265F3847395:2025-01-25T00:39:51Z,12265,1,151,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12265F3847396:2025-01-25T00:39:51Z,12265,1,152,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000119,OCESN12265F3847397:2025-01-25T00:39:51Z,12265,1,153,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000120,OCESN12265F3847824:2025-01-25T00:39:51Z,12265,1,154,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000029,OCESN12266F3517853:2025-01-28T00:48:51Z,12266,0,155,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000030,OCESN12266F3642792:2024-12-07T00:26:03Z,12266,0,156,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000121,OCESN12266F3829098:2025-01-21T00:39:14Z,12266,0,157,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000122,OCESN12266F3829099:2025-01-21T00:39:14Z,12266,0,158,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000123,OCESN12266F3832930:2025-01-28T00:48:51Z,12266,0,159,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12266F3832932:2025-01-28T00:48:51Z,12266,0,160,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000063,OCESN12266F3849969:2025-01-28T00:48:51Z,12266,0,161,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000124,OCESN12267F3517343:2025-01-26T00:39:26Z,12267,1,162,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000125,OCESN12267F3517344:2025-01-25T00:39:51Z,12267,1,163,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000126,OCESN12267F3517345:2025-01-25T00:39:51Z,12267,1,164,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000024,OCESN12267F3824889:2025-01-24T00:40:05Z,12267,1,165,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000127,OCESN12267F3824890:2025-01-24T00:40:05Z,12267,1,166,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000025,OCESN12267F3827531:2025-01-24T00:40:05Z,12267,1,167,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000059,OCESN12267F3827547:2025-01-24T00:40:05Z,12267,1,168,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000128,OCESN12267F3834600:2025-01-21T00:39:14Z,12267,1,169,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000129,OCESN12267F3834601:2025-01-21T00:39:14Z,12267,1,170,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000130,OCESN12268F2080214:2024-12-05T00:26:54Z,12268,0,171,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000131,OCESN12268F3517334:2025-01-28T00:48:51Z,12268,0,172,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12268F3827121:2025-01-24T00:40:05Z,12268,0,173,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12268F3827122:2025-01-21T00:39:14Z,12268,0,174,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000086,OCESN12268F3827123:2025-01-21T00:39:14Z,12268,0,175,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000087,OCESN12268F3827124:2025-01-21T00:39:14Z,12268,0,176,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12268F3827548:2025-01-24T00:40:05Z,12268,0,177,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000132,OCESN12268F3827549:2025-01-24T00:40:05Z,12268,0,178,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000053,OCESN12268F3837553:2025-01-24T00:40:05Z,12268,0,179,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12268F3846551:2025-01-24T00:40:05Z,12268,0,180,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12268F3846552:2025-01-24T00:40:05Z,12268,0,181,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000133,OCESN12268F3846553:2025-01-24T00:40:05Z,12268,0,182,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12268F3846554:2025-01-24T00:40:05Z,12268,0,183,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000134,OCESN12268F3846690:2025-01-24T00:40:05Z,12268,0,184,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000135,OCESN12270F3826741:2025-01-21T00:39:14Z,12270,0,185,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000136,OCESN12270F3841819:2025-01-24T00:40:05Z,12270,0,186,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000069,OCESN12270F3841820:2025-01-24T00:40:05Z,12270,0,187,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000137,OCESN12270F3846731:2025-01-24T00:40:05Z,12270,0,188,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12271F3517312:2025-01-14T04:48:49Z,12271,1,189,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000138,OCESN12271F3517313:2025-01-24T00:40:05Z,12271,1,190,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000139,OCESN12271F3827829:2025-01-21T00:39:14Z,12271,1,191,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000140,OCESN12271F3827830:2025-01-21T00:39:14Z,12271,1,192,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000141,OCESN12271F3832020:2025-01-24T00:40:05Z,12271,1,193,
